"offense_category","offense_type","uncertainty_score","cost","description"
"traffic offense, minor","criminal traffic",0.05,0.00039075,"Failure To Stop At Red Signal"
"extortion/threat","violent",0.1,0.00039025,"Terroristic Threats W/ Int To Terrorize Another"
"theft, value unknown","property",0.25,0.00064725,"Theft By Decep-False Impression"
"forgery/fraud","property",0.05,0.00038975,"Bad Checks"
"forgery/fraud","property",0.1,0.00052,"Receives Advance Payment For Services and Fails to Perform"
"obstruction/resisting","public order",0.1,0.0003915,"Hinder App/Prosec-Provide Aid"
"disorderly conduct offense","public order",0.05,0.0002938,"Disorderly Conduct-Unreasonable Noise"
"criminal trespass","property",0.05,0.00025875,"Crim Tres-Enter Structure"
"driving while intoxicated","dui offense",0.05,0.00065325,"DUI: Gen Imp/Inc of Driving Safely - 1st Off"
"not known/missing","not known/missing",0,0.00052225,"Driving at Safe Speed"
"liquor law violation","public order",0.05,0.0003935,"Purch Etc Alcoh Bev By A Minor"
"theft, value unknown","property",0.15,0.0005195,"Theft By Unlaw Taking-Movable Prop"
"traffic offense, minor","criminal traffic",0.05,0.0007755,"Driv While Oper Priv Susp Or Revoked"
"driving under the influence of drugs","dui offense",0.05,0.000273,"DUI: Controlled Substance - Schedule 1 - 1st Offense"
"driving under the influence of drugs","dui offense",0.05,0.00043055,"DUI: Controlled Substance - Schedule 2 or 3 - 1st Offense"
"traffic offense, minor","criminal traffic",0.05,0.00039125,"Disregard Traffic Lane (Single)"
"traffic offense, minor","criminal traffic",0.8,0.00026275,"Duties At Stop Sign"
"burglary","property",0.05,0.000388,"Burglary - Overnight Accommodations; Person Present"
"destruction of property","property",0.05,0.00039075,"Crim Misch/Dmg Prop Intent, Reckless, Or Neglig"
"driving while intoxicated","dui offense",0.05,0.0010375,"DUI: Controlled Substance - Combination Alcohol/Drugs - 1st Offense"
"traffic offense, minor","criminal traffic",0.05,0.0003905,"Driving W/O A License"
"traffic offense, minor","criminal traffic",0.05,0.00039,"Careless Driving"
"burglary","property",0.05,0.00028855,"Burglary - Overnight Accommodation, No Person Present"
"violent offense, other","violent",0.05,0.000646,"Stalking - Repeatedly Commit Acts To Cause Fear"
"forgery/fraud","property",0.15,0.00080405,"Dec Bus Pract - False Weight or Measure"
"theft, value unknown","property",0.1,0.00051875,"Retail Theft-Take Mdse"
"escape from custody","public order",0,0.0005155,"Escape"
"sexual assault","violent",0.1,0.0005135,"Indec Asslt-W/O Cons Of Other"
"destruction of property","property",0,0.000389,"Criminal Mischief - Damage Property"
"disorderly conduct offense","public order",0.01,0.0003935,"Disorderly Conduct Obscene Lang/Gest"
"disorderly conduct offense","public order",0,0.000393,"Disorderly Conduct Engage In Fighting"
"burglary","violent",0.25,0.00077325,"Burglary - Overnight Accommodations; Person Present, Bodily Injury Crime"
"theft, value unknown","property",0.05,0.00039075,"Theft From A Motor Vehicle"
"unauthorized use of vehicle","property",0.05,0.000391,"Unauth Use Motor/Other Vehicles"
"disorderly conduct offense","public order",0.25,0.00052175,"Disorderly Conduct Hazardous/Physi Off"
"simple assault","violent",0.05,0.00025675,"Simple Assault - Mutual Consent Fight"
"armed robbery, conspiracy","violent",0.3,0.00064675,"Criminal Conspiracy Engaging Robbery-Threat Immed Ser Injury"
"liquor law violation","public order",0.2,0.001082,"Sales Of Malt/Brewed Bev Not For Consump"
"weapons offense","violent",0.1,0.001027,"Possession Of Firearm Prohibited"
"child abuse","violent",0.12,0.00038725,"Endangering Welfare of Children - Parent/Guardian/Other Commits Offense"
"driving under the influence of alcohol","dui offense",0.05,0.0007855,"DUI: Highest Rte of Alc (BAC .16+) 1st Off"
"hit and run driving with property damage","property",0.1,0.000652,"Acci Dam To Unattended Veh Or Propert"
"receiving stolen property","property",0,0.00026025,"Receiving Stolen Property"
"violent offense, other","violent",0.1,0.00041955,"Aggravated Cruelty to Animals - Causing SBI or Death"
"distribution, drug unspecified","drug",0.2,0.00051775,"Possess Small Amt/Distribute, Not Sell"
"theft, value unknown","property",0.05,0.0002635,"Theft Of Services-Acquisition Of Services"
"destruction of property","property",0.1,0.0005175,"Crim'l Misch-Another Pecun Loss"
"theft, value unknown","property",0.1,0.00039075,"Theft Of Leased Property"
"contributing to the delinquency of a minor","public order",0.05,0.0006565,"Corruption of Minors"
"driving while intoxicated","dui offense",0.05,0.00065325,"DUI: Gen Imp/Inc of Driving Safely - 2nd Off"
"driving while intoxicated","dui offense",0.05,0.00039875,"DUI: High Rte of Alc (Bac.10 - <.16) 1st Off"
"forgery/fraud","property",0.05,0.000391,"Forgery - Utters Forged Writing"
"forgery/fraud","property",0.05,0.00026175,"Identity Theft"
"forgery/fraud","property",0.15,0.00052,"Access Device Is Counterfeit, Altered, Incomplete"
"obstruction/resisting","criminal traffic",0.2,0.00115975,"Fleeing or Attempting to Elude Officer"
"traffic offense, minor","criminal traffic",0.05,0.00039025,"Follow Too Closely"
"not known/missing","not known/missing",0.9,0.0006793,"Intersections Controlled by Signs"
"traffic offense, minor","criminal traffic",0.05,0.00054755,"Turning Movements And Required Signals"
"driving under the influence of alcohol","dui offense",0.1,0.001216,"Ill Operate Vehicle W/Out Ignition Interlock"
"liquor law violation","public order",0.05,0.00039275,"Restrictions on Alcoholic Beverages"
"driving under the influence of alcohol","dui offense",0.05,0.00078375,"Driving While BAC .02 or Greater While License Susp"
"weapons offense","violent",0.4,0.000516,"Make Repairs/Sell/Etc Offens Weap"
"traffic offense, minor","criminal traffic",0.12,0.00051825,"Veh Reg Suspended"
"traffic offense, minor","criminal traffic",0.05,0.00039025,"Reckless Driving"
"possession/use of marijuana","drug",0.05,0.000262,"Poss Of Marijuana"
"driving under the influence of drugs","dui offense",0.05,0.000401,"DUI: Controlled Substance - Impaired Ability - 1st Offense"
"traffic offense, minor","criminal traffic",0.05,0.00039,"No Rear Lights"
"obstruction/resisting","public order",0.1,0.00064675,"False Identification To Law Enforcement Officer"
"theft, value unknown, conspiracy","property",0.1,0.00052375,"Conspiracy Theft By Unlaw Taking-Movable Prop"
"destruction of property","property",0.1,0.00038975,"Crim'l Misch-Tamper W/Property"
"traffic offense, minor","criminal traffic",0.15,0.00054855,"Tinted Windows - Compliance W/ Fed. Regulations"
"criminal trespass, attempted","property",0.05,0.0003915,"Criminal Attempt Crim Tres-Enter Structure"
"flight to avoid prosecution","public order",0,0.00077575,"Flight To Avoid Appreh/Trial/Punish"
"public order offense, other","public order",0.2,0.00039375,"Loitering And Prowling At Night Time"
"driving under the influence of alcohol","dui offense",0.35,0.0020655,"Drg Lic Sus/Rev Purs to Sec 3802/1547B1"
"driving while intoxicated","dui offense",0.2,0.0012955,"Drg Lic Sus/Rev Purs to Sec 3802/1547B1-3rd or Subs. Violation"
"traffic offense, minor","criminal traffic",0.05,0.000262,"No Headlights"
"hit and run driving with property damage","criminal traffic",0.4,0.00052475,"Fail To Report Accident To Police"
"traffic offense, minor","criminal traffic",0.1,0.000822,"Drive Wrong Way"
"traffic offense, minor","criminal traffic",0.15,0.001079,"Period For Requiring Lighted Lamps"
"traffic offense, minor","criminal traffic",0.05,0.00082275,"Failure to Yield to Emergency Vehicle"
"theft, value unknown","property",0.2,0.0003915,"Theft By Fail To Make Req Disp Funds"
"weapons offense","public order",0.15,0.00115775,"Firearms Not To Be Carried W/O License"
"hit and run with bodily injury","criminal traffic",0.05,0.00065125,"Fail Stop And Give Infor Render Aid"
"traffic offense, minor","criminal traffic",0.05,0.00039075,"Back Up Vehicle Improperly"
"other property offense","property",0.2,0.00094675,"Abandoning Veh On Highway"
"other property offense","property",0.2,0.0005155,"Scatter Rubbish Upon Land/Stream Etc"
"driving under the influence of alcohol","dui offense",0.15,0.000784,"BAC .02 or Higher - 3rd Offense"
"child molestation, attempted","violent",0.3,0.0011605,"Criminal Attempt IDSI Person Less Than 16 Yrs Age"
"child molestation","violent",0.2,0.00051575,"Unlawful Contact With Minor - Sexual Offenses"
"child molestation, conspiracy","violent",0.05,0.00090475,"Criminal Solicitation IDSI Person Less Than 16 Yrs Age"
"statutory rape","violent",0.1,0.00115775,"IDSI Person Less Than 16 Yrs Age"
"child molestation","violent",0.12,0.00064425,"Unlawful Contact W/ Minor - Sexual Exploitation"
"forgery/fraud","property",0.05,0.00039075,"Forgery-Unauthorized Act In Writing"
"extortion/threat","violent",0.1,0.00067505,"Harassment - Comm. Repeatedly in Another Manner"
"aggravated assault","violent",0.05,0.00039075,"Aggravated Assault - Attempts to cause or causes SBI to designated individuals"
"violent offense, other","violent",0.2,0.0005165,"Cruelty to Animals"
"theft, value unknown, conspiracy","property",0.1,0.00052425,"Criminal Conspiracy Engaging Retail Theft-Take Mdse"
"theft, value unknown, attempted","property",0.15,0.000396,"Criminal Attempt Theft By Unlaw Taking-Movable Prop"
"obstruction/resisting","public order",0.2,0.00090375,"False Report - Falsely Incriminate Another"
"obstruction/resisting","public order",0.35,0.000776,"Intim Witness/Victim False/Misleading Testimony"
"extortion/threat","violent",0.2,0.00077475,"Harassment - Comm. Lewd, Threatening, Etc. Language"
"not known/missing","not known/missing",0.95,0.0003945,"Improp Sunscreening"
"traffic offense, minor","criminal traffic",0.1,0.00095025,"Not Use Low Beam"
"forgery/fraud, conspiracy","property",0.05,0.00039525,"Criminal Conspiracy Engaging Bad Checks"
"traffic offense, minor","criminal traffic",0.1,0.00064775,"Oper/Perm Op W/Unsafe Eqmt/"
"violent offense, other","violent",0.1,0.00038925,"Recklessly Endangering Another Person"
"aggravated assault","violent",0.05,0.00026325,"Aggravated Assault - Attempts to cause SBI or causes injury with extreme indifference"
"traffic offense, minor","criminal traffic",0.1,0.00039,"Improp Tires"
"driving under the influence of drugs","dui offense",0.05,0.00052875,"DUI: Controlled Substance or Metabolite 1st Offense"
"commercialized vice","public order",0.25,0.00051775,"Prom Pros-Inmate In House Of Prost/Business"
"public order offense, other","public order",0.15,0.000778,"False Reports - Reported Offense Did Not Occur"
"obstruction/resisting","public order",0.25,0.00077575,"Knowledge or intends to obstruct child abuse report or investigation"
"obstruction/resisting","public order",0.05,0.000904,"Intimidate Witness/Victim - Withhold Testimony"
"obstruction/resisting","public order",0.6,0.0009035,"Enforcement Author (Fail To Comply)"
"violent offense, other","violent",0.25,0.00115825,"Harassment - Course of Conduct W/No Legitimate Purpose"
"not known/missing","not known/missing",0.05,0.0002675,"One Way Roadways/Rotary Traffic Island"
"forgery/fraud","property",0.25,0.0006475,"Fraudulent Use/Removal Of Reg Plate"
"theft, value unknown","property",0.2,0.00064775,"Theft By Unlaw Taking-Immovable Prop"
"traffic offense, minor","criminal traffic",0.35,0.000647,"Display Plate Card In Improp Veh"
"traffic offense, minor","criminal traffic",0.05,0.00039175,"Fail to use safety belt - driver and vehicle occupant"
"forgery/fraud","property",0.05,0.00051875,"Forgery - Unauthorized Act In Writing"
"weapons offense","public order",0.1,0.000517,"Possession Of Firearm By Minor"
"weapons offense, conspiracy","public order",0.2,0.00090575,"Conspiracy Firearm Ownership - Duty Of Other Persons"
"weapons offense","public order",0.2,0.00077525,"Firearm Ownership - Duty Of Other Persons"
"forgery/fraud, conspiracy","property",0.05,0.0003955,"Conspiracy Forgery - Unauthorized Act In Writing"
"extortion/threat","violent",0.15,0.000775,"Criminal Solicitation Intim Wit/Vit - Refrain From Report"
"offense against morals/decency","public order",0.05,0.00026825,"Indecent Exposure"
"offense against morals/decency","public order",0.05,0.00052425,"Open Lewdness"
"traffic offense, minor","criminal traffic",0.2,0.0003915,"Misuse Plate-Card (Regis)"
"traffic offense, minor","criminal traffic",0.3,0.0005195,"Limitations on Driving on Left Side of Road"
"burglary","property",0.05,0.00026075,"Burglary - Not Adapted for Overnight Accommodation, No Person Present"
"forgery/fraud","property",0.1,0.000648,"Access Device Issd to Another Who Did Not Auth Use"
"vehicular manslaughter","criminal traffic",0.15,0.00052175,"Accidents Involving Death or Injury While Not Licensed"
"hit and run with bodily injury","criminal traffic",0.3,0.00065175,"Fail To Not Police Of Accident\ Injury Or Death"
"forgery/fraud","property",0.35,0.000518,"Give False Information"
"burglary, attempted","violent",0.2,0.000778,"Criminal Attempt Burglary - Overnight Accommodations; Person Present, Bodily Injury Crime"
"weapons offense","property",0.4,0.000899,"Poss Instrument Of Crime W/Int"
"traffic offense, minor","criminal traffic",0.05,0.000391,"Obedience to Traffic-Control Devices"
"traffic offense, minor","criminal traffic",0.05,0.00052025,"Obscured Plates - Illegible at Reasonable Distance"
"forgery/fraud","property",0.05,0.00026225,"Forgery - Alter Writing"
"forgery/fraud","property",0.05,0.00051975,"Posses Access Device Knowing Counterfeit, Altered"
"forgery/fraud","property",0.1,0.00051925,"Unsworn Falsification to Authorities"
"armed robbery","violent",0.05,0.0005135,"Robbery-Inflict Serious Bodily Injury"
"aggravated assault, conspiracy","violent",0.05,0.00039575,"Conspiracy Aggravated Assault - Attempts to cause SBI or causes injury with extreme indifference"
"simple assault, conspiracy","violent",0,0.00026025,"Conspiracy Simple Assault"
"forgery/fraud","property",0.2,0.000391,"Tamper Records Or Id-Writing"
"obstruction/resisting","public order",0.2,0.000647,"Tamper With Public Record/Information"
"forgery/fraud","property",0.1,0.000393,"Unsworn Falsification to Authorities - Forged/Altered Document"
"traffic offense, minor","criminal traffic",0.03,0.00052,"Exceed Max Speed Lim Estb By 18 MPH"
"not known/missing","not known/missing",0.9,0.00052325,"Accidents Involving Death Or Personal Injury"
"traffic offense, minor","criminal traffic",0.05,0.00077675,"Permitting violation of title Driv While Oper Priv Susp Or Revoked"
"traffic offense, minor","criminal traffic",0.05,0.00039,"Pass Left Unsafe"
"destruction of property","property",0.05,0.000389,"Dam Real Prop By Oper Mot Veh"
"hit and run driving with property damage","criminal traffic",0.35,0.00090975,"Fail To Not Police Of Acc\ Damage To Vehicle"
"traffic offense, minor","criminal traffic",0,0.00039075,"Failure to Yield at Yield Sign"
"traffic offense, minor","criminal traffic",0.06,0.0002625,"Not Yield At Rdwy"
"driving under the influence of alcohol","dui offense",0.05,0.0005295,"DUI: Highest Rte of Alc (BAC .16+) 2nd Off"
"driving while intoxicated","dui offense",0.05,0.00052525,"DUI: Gen Imp/Inc of Driving Safely - 3rd Off"
"obstruction/resisting","public order",0.6,0.00077575,"Furnish Auth. With Information W/O Knowledge"
"not known/missing","not known/missing",0.2,0.00065075,"Code Enforcement-Permit Is Required"
"kidnapping","violent",0.1,0.0003865,"False Imprisonment"
"destruction of property, conspiracy","property",0.12,0.00052325,"Conspiracy Crim Misch/Dmg Prop Intent, Reckless, Or Neglig"
"theft, value unknown, conspiracy","property",0.1,0.000523,"Conspiracy Theft From A Motor Vehicle"
"forgery/fraud","property",0.35,0.0006475,"Access Device Has Been Revoked Or Canceled"
"obstruction/resisting","violent",0.15,0.000775,"Intimidates or intends to intimidate person to give false or misleading information"
"extortion/threat","violent",0.1,0.00051725,"Retaliation Against Witness or Victim"
"traffic offense, minor","criminal traffic",0.75,0.00039,"Improper Stop"
"driving under the influence of drugs","dui offense",0.05,0.00040075,"DUI: Controlled Substance - Schedule I - 2nd Offense"
"driving under the influence of drugs","dui offense",0.05,0.000833,"DUI: Controlled Substance - Impaired Ability - 2nd Offense"
"driving under the influence of drugs","dui offense",0.05,0.000401,"DUI: Controlled Substance - Metabolite - 1st Offense"
"other property offense","property",0.1,0.0005145,"Depositing Waste On Hwy"
"traffic offense, minor","criminal traffic",0.05,0.00052,"Exceed Max Speed Lim Estb By 24 MPH"
"traffic offense, minor","criminal traffic",0.05,0.00042105,"Exceed 55 MPH In Other Loc By 35 MPH"
"weapons offense","public order",0.1,0.00077475,"Firearm Not To Be Carried W/O License-No Crim Viol"
"aggravated assault","violent",0.25,0.00064575,"Discharge Of A Firearm Into Occupied Structure"
"forgery/fraud","property",0.1,0.000391,"Fraud Document - Insurance Rate Determ"
"forgery/fraud, conspiracy","property",0.05,0.00039425,"Conspiracy Identity Theft"
"theft, value unknown, conspiracy","property",0.12,0.0006515,"Conspiracy Theft By Decep-False Impression"
"possession/use, drug unspecified, attempted","drug",0.12,0.0005255,"Possess Control Subs, Contraband/Inmate"
"not known/missing","not known/missing",0.9,0.00077875,"Prohibiting text-based communications"
"traffic offense, minor","criminal traffic",0.05,0.0003905,"Violate Vehicle Equipment Standards"
"traffic offense, minor","criminal traffic",0.85,0.00064625,"Not Discontinue Signal"
"traffic offense, minor","criminal traffic",0.1,0.00039025,"Drive On Sidewalk"
"liquor law violation","public order",0.05,0.0005215,"Malt Bev Tax/Unlawful Transport"
"criminal trespass","property",0.15,0.00038625,"Unauthorized School Bus Entry"
"kidnapping","violent",0.15,0.000516,"Unlawful Restraint/ Serious Bodily Injury"
"attempted murder","violent",0.05,0.000387,"Criminal Attempt Criminal Homicide"
"traffic offense, minor","criminal traffic",0.05,0.00026225,"Improper Right Turn"
"aggravated assault","violent",0.05,0.0002635,"Aggravated Assault - Victim Less Than 6 and Defendant 18 or older"
"conspiracy to commit murder","violent",0.05,0.00026275,"Conspiracy Criminal Homicide"
"violent offense other, conspiracy","violent",0.14,0.00064825,"Conspiracy Discharge Of A Firearm Into Occupied Structure"
"violent offense other, conspiracy","violent",0.1,0.0003915,"Conspiracy Recklessly Endangering Another Person"
"contempt of court/violate court order","public order",0.3,0.00104325,"Willfully Fails or Refuses to Make Any Such Contribution or Other Payment Required"
"obstruction/resisting","public order",0.25,0.00103425,"Willfully Fails or Refuses to Produce or Permit the Inspection or Copying of Records as Required"
"traffic offense, minor","criminal traffic",0.05,0.000392,"Exceed Max Speed Lim Estb By 23 MPH"
"driving under the influence of drugs","dui offense",0.05,0.00040075,"DUI: Controlled Substance - Schedule I - 3rd Offense"
"invasion of privacy","public order",0.12,0.000649,"Invasion of Privacy - view, photograph, etc. person w/out consent"
"other property offense","property",0.45,0.00077125,"Neglect of Animals - Tethering"
"burglary","property",0,0.0003875,"Burglary - Overnight Accommodation, Person Present"
"child abuse","violent",0.7,0.001537,"Neglect Of Care-Dependent Person"
"financial crimes","property",0.6,0.00102525,"Penalty/Fail Procure Wkr Comp"
"forgery/fraud","property",0.35,0.00090275,"Secure Execution Docs By Deception"
"forgery/fraud","property",0.15,0.00052,"Performs Action in Furtherance of False Pretense"
"forgery/fraud","property",0.05,0.000647,"Tamper With Public Record/information"
"other property offense","property",0.2,0.00090075,"Unlaw. Use of Computer - Access to Disrupt Funct."
"financial crimes","property",0.12,0.001026,"Misapply Entrusted/Govt/Fin Inst Prop"
"offense against morals/decency","public order",0.05,0.00042705,"Corruption Of Minors - Defendant Age 18 or Above"
"forgery/fraud, conspiracy","property",0.15,0.0005245,"Conspiracy Access Device Is Counterfeit, Altered, Incomplete"
"traffic offense, minor","criminal traffic",0.1,0.00051825,"Too Slow For Conditions"
"driving while intoxicated","dui offense",0.05,0.000526,"DUI: Gen Imp/Inc of Driving Safely - 4th Off & Sub Off"
"forgery/fraud","property",0.1,0.00077575,"Other Reason Access Device Is Unauth By Issuer"
"offense against morals/decency","public order",0.25,0.000909,"Diss Explicit Sex Mat'l Minor"
"child molestation","violent",0.15,0.00064525,"Unlawful Contact With Minor - Obscene and Other Sexual Materials and Performances"
"traffic offense, minor","criminal traffic",0,0.00051825,"Improper Left Turn"
"traffic offense, minor","criminal traffic",0.05,0.00052025,"Exceed 55 MPH In Other Loc By 31 MPH"
"disorderly conduct offense","public order",0,0.00039225,"Disorderly Conduct"
"drug paraphernalia","drug",0,0.0002605,"Drug Paraphernalia"
"obstruction/resisting","public order",0.15,0.000518,"False Police Reports"
"obstruction/resisting","violent",0.15,0.00103,"Intim Wit/Vit - Refrain From Report"
"commercialized vice","public order",0.05,0.0005165,"Patronizing Prostitutes"
"driving under the influence of alcohol","dui offense",0.05,0.0004025,"DUI: High Rte of Alc (BAC .10 - <.16) 2nd Off"
"criminal trespass","property",0.05,0.0003865,"Trespass By Mot Veh"
"traffic offense, minor","criminal traffic",0.1,0.000518,"Emission Inspection Required"
"criminal trespass","property",0.1,0.000387,"Def Tres Fenced/Enclosed"
"traffic offense, minor","criminal traffic",0.3,0.00039025,"Obstructed Window"
"not known/missing","not known/missing",0,0.00039525,"Restraint Systems - Child Booster Seat"
"aggravated assault","violent",0.05,0.0003915,"Aggravated Assault - Victim Less Than 13 and Defendant 18 or older"
"arson","property",0.25,0.0008995,"Arson Endangering Property-Reckless Endangerment of Inhabited Buildings"
"public order offense, other","public order",0.2,0.00052025,"Obstruction Highways"
"theft, value unknown","property",0.1,0.0005195,"Theft Of Services-Acquis Of Service"
"public order offense, other","public order",0.15,0.00042305,"Violation of the Disease Prevention and Control Act of 1955"
"driving under the influence of alcohol","dui offense",0,0.0004015,"DUI: Gen Imp (BAC .08 - .10) 1st Off"
"traffic offense, minor","criminal traffic",0.05,0.00039225,"Exceed 55 MPH In Other Loc By 17 MPH"
"other drug offense","drug",0.6,0.0005155,"Smell/Inhale Toxic Releasing Substances"
"theft, value unknown, attempted","property",0.2,0.00065175,"Criminal Attempt Theft By Decep-False Impression"
"traffic offense, minor","criminal traffic",0.05,0.0003905,"Fail To Carry Regist"
"driving while intoxicated","dui offense",0.05,0.00108525,"DUI: Controlled Substance - Combination Alcohol/Drug - 2nd Offense"
"traffic offense, minor","criminal traffic",0.4,0.0006465,"Opening Door Unsafely"
"public order offense, other","public order",0.7,0.00077675,"Fail to Provide Accurate Registration Info"
"commercialized vice","public order",0.2,0.00038825,"Prom Pros-Prostitution"
"destruction of property","property",0.35,0.001032,"Unlaw. Use of Comp.  - Access/Interfere/Dam./Dest."
"violent offense, other","violent",0.05,0.00095,"Stalking - Repeatedly Comm. To Cause Fear"
"theft, value unknown, conspiracy","property",0.15,0.00039675,"Criminal Conspiracy Engaging Theft By Unlaw Taking-Movable Prop"
"traffic offense, minor","criminal traffic",0.05,0.00039025,"Driving Unregistered Vehicle"
"aggravated assault","violent",0.05,0.00026275,"Aggravated Assault - Attempts to cause or causes BI with deadly weapon"
"drug paraphernalia","drug",0.05,0.000389,"Deliver/Intent To Del Drug Para"
"extortion/threat","violent",0.25,0.00128525,"Aggravated Harassment By Prisoner"
"weapons offense","violent",0.05,0.00038625,"Possession Of Weapon"
"child molestation","violent",0.2,0.000515,"Agg. Ind. Assault of Child"
"offense against morals/decency","public order",0.2,0.0007805,"Corruption Of Minors"
"child molestation","violent",0.1,0.00051625,"Indecent Assault Person Less than 13 Years of Age"
"unarmed robbery","violent",0.05,0.0003875,"Robbery-Take Property Fr Other/Force"
"theft, value unknown","property",0.7,0.00051925,"Theft Property Lost Etc By Mistake"
"obstruction/resisting","public order",0,0.00051775,"Obstruction"
"child molestation","violent",0.05,0.000644,"Invol. Deviate Sexual Intercourse W/Child"
"theft, value unknown, conspiracy","property",0.1,0.00052325,"Conspiracy Retail Theft-Take Mdse"
"theft, value unknown, conspiracy","property",0.12,0.000653,"Criminal Conspiracy Engaging Theft By Unlaw Taking-Immovable Prop"
"theft, value unknown, conspiracy","property",0.2,0.000524,"Conspiracy Theft By Unlaw Taking-Immovable Prop"
"public order offense, other","public order",0.2,0.000393,"Dogs Not Validly Registered Under Act"
"not known/missing","not known/missing",0.9,0.0006525,"Failure to comply with Sections 503-A or 503-4"
"public order offense, other","public order",0.35,0.00064925,"Application Dog License/Fees, Penalties"
"not known/missing","not known/missing",0,0.00039675,"Vaccination against Rabies Required - 4 to 12 weeks old"
"not known/missing","not known/missing",0,0.0003945,"Evidence Of Emission Inspection"
"traffic offense, minor","criminal traffic",0.25,0.0007755,"Surrender Regis Plates/Cards On Susp."
"invasion of privacy","public order",0.05,0.00039175,"Unlawful Dissemination of Intimate Image"
"drug paraphernalia, conspiracy","drug",0.1,0.0003935,"Conspiracy Use/Poss Of Drug Paraph"
"traffic offense, minor","criminal traffic",0.05,0.00039075,"Unsafe Movement/Pass on Right"
"weapons offense","violent",0.05,0.00064425,"Posses Firearm W/Manufacturer Number Altered, Etc"
"aggravated assault","violent",0.08,0.00051875,"Aggravated Assault - Attempts to cause or causes BI to designated individuals"
"destruction of property","property",0.3,0.000389,"Institut'l Vand'ism Educ Facil"
"other property offense","property",0.25,0.00051675,"Unlaw. Use of Comp. - Provide Password/Pin/Other"
"traffic offense, minor","criminal traffic",0.05,0.00026225,"Improp Display Plate"
"traffic offense, minor","criminal traffic",0.05,0.00051825,"Fail To Keep Right"
"traffic offense, minor","criminal traffic",0.03,0.00039225,"Exceed 55 MPH In Other Loc By 18 MPH"
"family or custody related offense","public order",0.1,0.00052125,"Interference W/Custody Of Children"
"aggravated assault, conspiracy","violent",0.05,0.00026825,"Criminal Conspiracy Engaging Aggravated Assault - Attempts to cause or causes BI with deadly weapon"
"rape","violent",0.1,0.000511,"IDSI Forcible Compulsion"
"rape, attempted","violent",0.05,0.00038825,"Criminal Attempt Rape Threat Of Forcible Compulsion"
"sexual assault","violent",0,0.000256,"Sexual Assault"
"sexual assault","violent",0.2,0.00076925,"Agg. Ind. Assault W/O Consent"
"not known/missing","not known/missing",0.95,0.0003945,"Regist Card Not Signed"
"rape","violent",0.6,0.0014075,"Rape Threat Of Forcible Compulsion"
"forgery/fraud, conspiracy","property",0.15,0.0005245,"Conspiracy Access Device Issd to Another Who Did Not Auth Use"
"criminal trespass, conspiracy","property",0.65,0.000903,"Conspiracy Def Tres Actual Communication To"
"traffic offense, minor","criminal traffic",0.15,0.00039025,"Fail To Carry Lic"
"forgery/fraud","property",0.2,0.00051925,"Dec Bus Pract - Adulterated Goods"
"forgery/fraud","property",0.2,0.000391,"Poss/Sale/Use Display Documents"
"forgery/fraud","property",0.4,0.00090325,"Violation Of Use Of Certif Of Inspection"
