"offense_category","offense_type","harm_level","harm_type","harm_score","action_type","uncertainty_score","description"
"child molestation","violent","individual","emotional or psychological",1,"occured",0.1,"Unlawful Contact With Minor - Obscene and Other Sexual Materials and Performances"
"traffic offense, minor","criminal traffic","community","community safety",0.1,"occured",0.05,"Improper Left Turn"
"traffic offense, minor","criminal traffic","community","community safety",0.3,"occured",0.1,"Exceed 55 MPH In Other Loc By 31 MPH"
"disorderly conduct offense","public order","community","community safety",0.3,"occured",0.1,"Disorderly Conduct"
"drug paraphernalia","drug","community","community safety",0.4,"occured",0.1,"Drug Paraphernalia"
"public order offense, other","public order","institutional","community safety",0.5,"occured",0.1,"False Police Reports"
"extortion/threat","violent","individual","emotional or psychological",0.7,"occured",0.2,"Intim Wit/Vit - Refrain From Report"
"commercialized vice","public order","individual","community safety",0.2,"occured",0.2,"Patronizing Prostitutes"
"driving under the influence of alcohol","dui offense","community","community safety",0.65,"occured",0.05,"DUI: High Rte of Alc (BAC .10 - <.16) 2nd Off"
"criminal trespass","property","individual","privacy",0.4,"occured",0.1,"Trespass By Mot Veh"
"traffic offense, minor","criminal traffic","community","community safety",0.1,"occured",0.1,"Emission Inspection Required"
"criminal trespass","public order","community","community safety",0.3,"occured",0.05,"Def Tres Fenced/Enclosed"
"public order offense, other","public order","community","community safety",0.1,"occured",0.5,"Obstructed Window"
"not known/missing","not known/missing","individual","physical",0.1,"occured",0.8,"Restraint Systems - Child Booster Seat"
"aggravated assault","violent","individual","physical",1,"occured",0.1,"Aggravated Assault - Victim Less Than 13 and Defendant 18 or older"
"arson","property","community","community safety",0.9,"occured",0.1,"Arson Endangering Property-Reckless Endangerment of Inhabited Buildings"
"public order offense, other","public order","community","community safety",0.3,"occured",0.1,"Obstruction Highways"
"theft, value unknown","property","individual","financial or economic",0.7,"occured",0.15,"Theft Of Services-Acquis Of Service"
